;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region
189;tt0080447;The Blood of Hussain;The Blood of Hussain;1980;112.0;['Drama'];US
190;tt0080448;Toxic Zombies;Bloodeaters;1980;89.0;['Horror'];US
191;tt0080450;Blow Job;Blow Job;1980;78.0;['Drama', 'Horror', 'Mystery'];US
192;tt0080453;The Blue Lagoon;The Blue Lagoon;1980;104.0;['Adventure', 'Drama', 'Romance'];US
193;tt0080455;The Blues Brothers;The Blues Brothers;1980;133.0;['Action', 'Adventure', 'Comedy'];US
194;tt0080461;Bon Voyage, Charlie Brown (and Don't Come Back!!);Bon Voyage, Charlie Brown (and Don't Come Back!!);1980;75.0;['Adventure', 'Animation', 'Comedy'];US
195;tt0080464;The Boogey Man;The Boogey Man;1980;82.0;['Horror'];US
196;tt0080465;Borderline;Borderline;1980;99.0;['Action', 'Drama'];US
197;tt0080466;Le borgne;Le borgne;1980;72.0;['Drama'];FR
198;tt0080469;Breaking Glass;Breaking Glass;1980;104.0;['Drama', 'Musical'];US
199;tt0080470;International Prostitution;International Prostitution: Brigade criminelle;1980;88.0;['Drama'];US
200;tt0080472;Bronco Billy;Bronco Billy;1980;116.0;['Action', 'Adventure', 'Comedy'];US
201;tt0080473;Brothers and Sisters;Brothers and Sisters;1980;96.0;['Drama'];GB
202;tt0080474;Brubaker;Brubaker;1980;131.0;['Crime', 'Drama'];US
203;tt0080475;Bruce, King of Kung Fu;Zui she xiao zi;1980;86.0;['Action', 'Drama'];US
204;tt0080478;Buitres sobre la ciudad;Buitres sobre la ciudad;1981;90.0;['Action', 'Crime'];US
205;tt0080480;Burebista;Burebista;1980;142.0;['Biography', 'Drama', 'History'];US
206;tt0080481;Burning Rubber;Burning Rubber;1981;85.0;['Action'];GB
207;tt0080482;Bye Bye Brazil;Bye Bye Brasil;1980;100.0;['Drama'];US
208;tt0080485;Cabo Blanco;Caboblanco;1980;91.0;['Action', 'Adventure', 'Crime'];US
209;tt0080486;Devil Hunter;El caníbal;1980;102.0;['Horror'];US
210;tt0080487;Caddyshack;Caddyshack;1980;98.0;['Comedy', 'Sport'];US
211;tt0080488;Café Express;Café Express;1980;100.0;['Comedy'];US
212;tt0080489;La Cage aux Folles II;La cage aux folles II;1980;101.0;['Comedy'];US
213;tt0080492;Can't Stop the Music;Can't Stop the Music;1980;124.0;['Biography', 'Comedy', 'Musical'];US
214;tt0080494;Mercenaries' Trap;Capcana mercenarilor;1981;111.0;['Adventure', 'Drama', 'War'];US
215;tt0080499;The Beasts' Carnival;El carnaval de las bestias;1980;91.0;['Crime', 'Horror'];US
216;tt0080500;Carny;Carny;1980;107.0;['Drama'];US
217;tt0080501;Car Crash;Car Crash;1981;95.0;['Action'];US
218;tt0080503;House on the Edge of the Park;La casa sperduta nel parco;1980;91.0;['Horror', 'Thriller'];US
219;tt0080506;Cataclysm;Cataclysm;1980;94.0;['Horror'];US
220;tt0080508;Cecilia;Cecilia;1982;127.0;['Drama'];GB
221;tt0080509;Celles qu'on n'a pas eues...;Celles qu'on n'a pas eues...;1981;105.0;['Comedy'];FR
222;tt0080511;Certaines nouvelles;Certaines nouvelles;1980;97.0;['Comedy', 'Drama'];FR
223;tt0080512;Iron Chain Assassin;Cha chi nan fei;1980;96.0;['Action', 'Drama', 'Mystery'];US
224;tt0080513;The Chain Reaction;The Chain Reaction;1980;92.0;['Action', 'Drama', 'Sci-Fi'];US
225;tt0080515;A Change of Seasons;A Change of Seasons;1980;102.0;['Comedy', 'Drama'];US
226;tt0080516;The Changeling;The Changeling;1980;107.0;['Horror', 'Mystery'];US
227;tt0080518;Charlotte;Charlotte;1981;96.0;['Biography', 'Drama', 'War'];US
228;tt0080519;Cheaper to Keep Her;Cheaper to Keep Her;1980;92.0;['Comedy'];US
229;tt0080520;Cheech and Chong's Next Movie;Cheech and Chong's Next Movie;1980;99.0;['Comedy', 'Crime', 'Sci-Fi'];US
230;tt0080523;Les chiens chauds;Les chiens chauds;1980;97.0;['Comedy', 'Crime'];FR
231;tt0080525;Children of Babylon;Children of Babylon;1980;122.0;['Drama'];US
232;tt0080527;The Children;The Children;1980;93.0;['Horror', 'Sci-Fi'];US
233;tt0080529;Rendezvous with Death;Qing tie;1980;98.0;['Action', 'Adventure', 'Mystery'];US
234;tt0080530;Everything Happens to Me;Chissà perché... capitano tutte a me;1980;99.0;['Action', 'Comedy', 'Family'];US
235;tt0080531;Christmas Mountain;Christmas Mountain;1981;90.0;['Adventure', 'Drama', 'Family'];US
236;tt0080536;Obsession;Circle of Two;1981;106.0;['Drama'];US
237;tt0080538;The Circus Casablanca;Cirkus Casablanca;1981;96.0;['Comedy', 'Drama', 'Family'];US
238;tt0080539;City of Women;La città delle donne;1980;139.0;['Comedy', 'Drama', 'Fantasy'];US
239;tt0080541;Clara and the Why Not;Clara et les Chics Types;1981;110.0;['Comedy', 'Drama', 'Music'];US
240;tt0080542;Clarence and Angel;Clarence and Angel;1980;72.0;['Drama'];US
241;tt0080545;Cloud Dancer;Cloud Dancer;1980;104.0;['Adventure', 'Drama'];US
242;tt0080546;The Club;The Club;1980;96.0;['Comedy', 'Drama', 'Sport'];US
243;tt0080549;Coal Miner's Daughter;Coal Miner's Daughter;1980;124.0;['Biography', 'Drama', 'Music'];US
244;tt0080550;Coast to Coast;Coast to Coast;1980;95.0;['Comedy', 'Drama', 'Romance'];US
245;tt0080552;Cocktail Molotov;Cocktail Molotov;1980;100.0;['Drama'];US
246;tt0080554;Pals;Colegas;1982;117.0;['Drama'];US
247;tt0080555;The Traveling Companion;La compagna di viaggio;1980;94.0;['Comedy'];US
248;tt0080556;The Competition;The Competition;1980;123.0;['Drama', 'Music', 'Romance'];US
249;tt0080560;The Conquest of Paradise;La conquista del paraíso;1981;103.0;['Drama'];US
250;tt0080561;The Constant Factor;Constans;1980;87.0;['Drama'];US
251;tt0080562;Les contes de La Fontaine;Les contes de La Fontaine;1980;;['Comedy'];FR
252;tt0080563;The Other One;Conversa Acabada;1981;100.0;['Biography', 'Drama', 'Romance'];US
253;tt0080565;The Umbrella Coup;Le coup du parapluie;1980;98.0;['Adventure', 'Comedy', 'Crime'];US
254;tt0080569;Cruising;Cruising;1980;102.0;['Crime', 'Drama', 'Mystery'];US
255;tt0080571;The Red Horse;Crveniot konj;1981;137.0;['Drama', 'History', 'War'];US
256;tt0080576;Potteries;Cserepek;1981;91.0;['Drama'];US
257;tt0080580;Cuba Crossing;Cuba Crossing;1980;90.0;['Action'];US
258;tt0080584;Cutting Loose;Cutting Loose;1980;97.0;['Comedy', 'Drama'];US
259;tt0080599;Dead Man's Float;Dead Man's Float;1980;75.0;['Crime', 'Drama'];US
260;tt0080603;Death Ship;Death Ship;1980;91.0;['Adventure', 'Horror', 'Mystery'];US
261;tt0080604;Dedicated to...;Dedicatoria;1980;97.0;['Drama', 'Romance'];GB
262;tt0080605;Defiance;Defiance;1980;103.0;['Action', 'Crime', 'Drama'];US
263;tt0080606;Delitto a Porta Romana;Delitto a Porta Romana;1980;92.0;['Comedy', 'Crime'];FR
264;tt0080607;Delusion;Delusion;1981;82.0;['Horror'];US
265;tt0080610;The Last Metro;Le dernier métro;1980;131.0;['Drama', 'Romance', 'War'];US
266;tt0080611;Last Summer;Dernier été;1981;85.0;['Drama'];FR
267;tt0080612;Desperado City;Desperado City;1981;98.0;['Drama'];US
268;tt0080616;Germany Pale Mother;Deutschland bleiche Mutter;1980;123.0;['Drama', 'History', 'War'];US
269;tt0080619;Deux lions au soleil;Deux lions au soleil;1980;110.0;['Comedy', 'Drama'];US
270;tt0080621;Shaolin Hellgate;Di san lei da dou;1980;88.0;['Action', 'Adventure', 'Fantasy'];US
271;tt0080627;Die Laughing;Die Laughing;1980;108.0;['Adventure', 'Comedy', 'Crime'];US
272;tt0080630;Dirty Tricks;Dirty Tricks;1981;95.0;['Comedy'];US
273;tt0080631;Dirty Picture;Dirty Picture;1980;78.0;['Drama'];US
274;tt0080634;Divine Madness;Divine Madness;1980;95.0;['Comedy', 'Documentary', 'Music'];US
275;tt0080636;We're Going to Eat You;Dei yuk mo moon;1980;90.0;['Action', 'Comedy', 'Horror'];US
276;tt0080638;Do Aur Do Paanch;Do Aur Do Paanch;1980;132.0;['Action', 'Comedy', 'Drama'];US
277;tt0080640;Do It with the Pamango;Una moglie, due amici, quattro amanti;1980;90.0;['Comedy'];US
278;tt0080641;The Dogs of War;The Dogs of War;1980;119.0;['Action', 'Adventure', 'Drama'];US
279;tt0080645;Don't Answer the Phone!;Don't Answer the Phone!;1980;94.0;['Horror', 'Thriller'];US
280;tt0080653;Friendship;Dostana;1980;152.0;['Action', 'Crime', 'Drama'];US
281;tt0080654;La dottoressa ci sta col colonnello;La dottoressa ci sta col colonnello;1980;88.0;['Comedy'];FR
282;tt0080656;Double Negative;Double Negative;1980;96.0;['Thriller'];US
283;tt0080657;Sweet Inquest on Violence;Douce enquête sur la violence;1982;98.0;['Drama'];US
284;tt0080658;Dr. Heckyl and Mr. Hype;Dr. Heckyl and Mr. Hype;1980;99.0;['Comedy', 'Drama', 'Horror'];US
285;tt0080661;Dressed to Kill;Dressed to Kill;1980;104.0;['Crime', 'Drama', 'Mystery'];US
286;tt0080664;Revenge of the Black Wolf;Duelo a muerte;1981;90.0;['Action', 'Adventure', 'Drama'];US
