;tconst;primaryTitle;originalTitle;startYear;runtimeMinutes;genres;region;averageRating;numVotes;weight_average
5750;tt0095131;Family Reunion;Family Reunion;1988;97.0;['Comedy'];GB;7.1;29.0;0.0
5754;tt0095138;Intrigo d'amore;Intrigo d'amore;1988;89.0;['Drama'];US;5.2;52.0;0.0
5756;tt0095141;Fatal Secret;Fatal Secret;1989;95.0;['Action'];GB;3.6;85.0;0.0
3811;tt0090279;Voyage to Paimpol;Le voyage à Paimpol;1985;88.0;['Comedy', 'Drama'];FR;5.1;28.0;0.0
3852;tt0090363;Goodbye Mammie;Zai jian ma mi;1986;99.0;['Drama'];US;5.2;22.0;0.0
3806;tt0090267;Visage pâle;Visage pâle;1985;103.0;['Drama'];FR;6.7;25.0;0.0
3801;tt0090256;Vertiges;Vertiges;1985;108.0;['Drama', 'Musical'];FR;5.8;17.0;0.0
3791;tt0090236;Unfinished Business;Unfinished Business;1985;78.0;['Comedy'];GB;6.4;23.0;0.0
5781;tt0095190;Further and Particular;Further and Particular;1988;110.0;['Drama'];GB;7.0;10.0;0.0
5784;tt0095196;The Game;The Game;1988;91.0;['Action', 'Drama'];US;5.2;44.0;0.0
5788;tt0095205;Bride of the Orient;Gekauftes Glück;1989;94.0;['Drama'];US;6.5;28.0;0.0
3782;tt0090214;Tukuma;Tukuma;1984;100.0;['Drama'];US;6.1;53.0;0.0
3851;tt0090362;Killing Auntie;Zabicie ciotki;1985;105.0;['Drama', 'Thriller'];US;7.0;45.0;0.0
3968;tt0090811;Cent francs l'amour;Cent francs l'amour;1986;91.0;['Romance'];FR;5.7;28.0;0.0
3924;tt0090708;Beginner's Luck;Beginner's Luck;1985;84.0;['Comedy'];US;4.9;55.0;0.0
3967;tt0090809;Le caviar rouge;Le caviar rouge;1985;92.0;['Drama'];FR;3.8;25.0;0.0
5664;tt0094920;Not Another Mistake;Not Another Mistake;1989;99.0;['Action', 'War'];US;4.4;72.0;0.0
3954;tt0090777;Brutal Sorcery;Du gu;1983;87.0;['Horror'];US;5.6;42.0;0.0
5676;tt0094936;Stumbling Cops;Da hua shen tan;1988;97.0;['Comedy', 'Crime'];US;5.7;19.0;0.0
5677;tt0094938;Daddy's Boys;Daddy's Boys;1988;90.0;['Action', 'Comedy', 'Crime'];US;4.2;59.0;0.0
3941;tt0090755;Blue Moon;Blue Moon;1986;88.0;['Thriller'];GB;4.9;10.0;0.0
5681;tt0094944;Dancing in the Forest;Dancing in the Forest;1989;91.0;['Thriller'];US;4.4;21.0;0.0
